Gene ID,Gene Symbol,Description,Alpha-26yF-0018,Alpha-35yF-0028,Alpha-49yF-0015,Alpha-55yM-0021,Alpha-50yM-0037,Beta-50yM-0038,Beta-49yF-0016,Beta-35yF-0029,Beta-26yF-0019,Beta-55yM-0022,Chromosome,Start,End,Entrez ID,Gene Type
ENSG00000131381,ZFYVE20,"zinc finger, FYVE domain containing 20 [Source:HGNC Symbol;Acc:20759]",669,1110,928,830,902,1229,745,1108,1101,2122,chr3,15111580,15140670,64145,protein_coding
ENSG00000131375,CAPN7,calpain 7 [Source:HGNC Symbol;Acc:1484],1355,1662,1177,1458,1696,2101,1065,2028,2136,2023,chr3,15247659,15294425,23473,protein_coding
ENSG00000131370,SH3BP5,SH3-domain binding protein 5 (BTK-associated) [Source:HGNC Symbol;Acc:10827],195,1229,629,130,94,799,749,1216,110,128,chr3,15296360,15382875,9467,protein_coding
ENSG00000206562,METTL6,methyltransferase like 6 [Source:HGNC Symbol;Acc:28343],157,93,138,111,98,126,107,54,188,146,chr3,15422782,15482073,131965,protein_coding
ENSG00000144597,EAF1,ELL associated factor 1 [Source:HGNC Symbol;Acc:20907],689,1039,506,661,766,1182,569,702,914,959,chr3,15468862,15484120,85403,protein_coding
ENSG00000131373,HACL1,2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:17856],300,270,301,324,260,354,163,307,295,456,chr3,15602211,15643338,26061,protein_coding
ENSG00000169814,BTD,biotinidase [Source:HGNC Symbol;Acc:1122],305,345,312,569,892,646,266,472,274,243,chr3,15642848,15687329,686,protein_coding
ENSG00000206560,ANKRD28,ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:29024],1661,677,788,767,947,982,901,754,1231,1470,chr3,15708743,15901278,23243,protein_coding
ENSG00000154813,DPH3,diphthamide biosynthesis 3 [Source:HGNC Symbol;Acc:27717],375,329,547,654,789,675,528,487,460,355,chr3,16299485,16306479,285381,protein_coding
ENSG00000154814,OXNAD1,oxidoreductase NAD-binding domain containing 1 [Source:HGNC Symbol;Acc:25128],171,209,281,254,308,393,212,169,401,339,chr3,16306706,16391806,92106,protein_coding
ENSG00000154822,PLCL2,phospholipase C-like 2 [Source:HGNC Symbol;Acc:9064],278,240,278,543,410,1112,708,534,616,1123,chr3,16844159,17132086,23228,protein_coding
ENSG00000131374,TBC1D5,"TBC1 domain family, member 5 [Source:HGNC Symbol;Acc:19166]",1403,997,1279,1264,1280,1250,1550,1780,1465,1684,chr3,17198654,18486309,9779,protein_coding
ENSG00000182568,SATB1,SATB homeobox 1 [Source:HGNC Symbol;Acc:10541],2358,2151,2104,1818,2338,3024,2267,1741,2025,2131,chr3,18386879,18487080,6304,protein_coding
ENSG00000183960,KCNH8,"potassium voltage-gated channel, subfamily H (eag-related), member 8 [Source:HGNC Symbol;Acc:18864]",177,156,139,98,54,154,62,128,49,80,chr3,19189946,19577138,131096,protein_coding
ENSG00000144566,RAB5A,"RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:9783]",716,849,449,720,637,864,656,972,943,1114,chr3,19988571,20026667,5868,protein_coding
ENSG00000183977,PP2D1,protein phosphatase 2C-like domain containing 1 [Source:HGNC Symbol;Acc:28406],159,107,35,53,57,29,53,42,145,88,chr3,20021453,20053822,151649,protein_coding
ENSG00000114166,KAT2B,K(lysine) acetyltransferase 2B [Source:HGNC Symbol;Acc:8638],799,837,667,1153,1349,1553,1312,1453,1175,1137,chr3,20081515,20195896,8850,protein_coding
ENSG00000182247,UBE2E2,ubiquitin-conjugating enzyme E2E 2 [Source:HGNC Symbol;Acc:12478],220,186,180,143,147,193,223,311,209,240,chr3,23244511,23633284,7325,protein_coding
ENSG00000170142,UBE2E1,ubiquitin-conjugating enzyme E2E 1 [Source:HGNC Symbol;Acc:12477],733,326,543,611,403,357,458,451,550,622,chr3,23847394,23932807,7324,protein_coding
ENSG00000197885,NKIRAS1,NFKB inhibitor interacting Ras-like 1 [Source:HGNC Symbol;Acc:17899],342,168,262,348,409,362,271,111,267,337,chr3,23933151,23988082,28512,protein_coding
ENSG00000174748,RPL15,ribosomal protein L15 [Source:HGNC Symbol;Acc:10306],6052,10278,6150,7169,7189,11601,8858,11245,8668,7994,chr3,23958036,23965183,6138,protein_coding
ENSG00000174738,NR1D2,"nuclear receptor subfamily 1, group D, member 2 [Source:HGNC Symbol;Acc:7963]",1962,2854,941,1273,2389,2251,1519,3341,1811,3744,chr3,23986751,24022109,9975,protein_coding
ENSG00000151090,THRB,"thyroid hormone receptor, beta [Source:HGNC Symbol;Acc:11799]",1061,1846,978,1379,1214,1526,947,727,599,1152,chr3,24158651,24536773,7068,protein_coding
ENSG00000077097,TOP2B,topoisomerase (DNA) II beta 180kDa [Source:HGNC Symbol;Acc:11990],2623,3545,3040,2662,4654,3612,2910,2567,3225,2800,chr3,25639475,25706398,7155,protein_coding
ENSG00000151092,NGLY1,N-glycanase 1 [Source:HGNC Symbol;Acc:17646],870,256,1130,758,817,852,946,615,864,1119,chr3,25760435,25831530,55768,protein_coding
ENSG00000151093,OXSM,"3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:26063]",75,100,79,100,70,148,116,79,102,197,chr3,25824408,25836025,54995,protein_coding
ENSG00000033867,SLC4A7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7 [Source:HGNC Symbol;Acc:11033]",439,310,466,400,300,629,737,597,642,888,chr3,27414214,27525911,9497,protein_coding
ENSG00000187118,CMC1,COX assembly mitochondrial protein 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:28783],286,224,385,293,201,342,308,209,287,395,chr3,28283075,28366633,152100,protein_coding
ENSG00000163512,AZI2,5-azacytidine induced 2 [Source:HGNC Symbol;Acc:24002],453,540,448,505,506,795,748,803,914,884,chr3,28356494,28390618,64343,protein_coding
ENSG00000163527,STT3B,"STT3B, subunit of the oligosaccharyltransferase complex (catalytic) [Source:HGNC Symbol;Acc:30611]",1027,935,1431,1291,1133,1305,1224,1008,1097,1140,chr3,31574130,31679112,201595,protein_coding
ENSG00000144645,OSBPL10,oxysterol binding protein-like 10 [Source:HGNC Symbol;Acc:16395],745,906,713,634,851,452,463,578,566,450,chr3,31699382,32119072,114884,protein_coding
ENSG00000197385,ZNF860,zinc finger protein 860 [Source:HGNC Symbol;Acc:34513],45,47,127,123,95,147,123,56,108,57,chr3,32023263,32033120,344787,protein_coding
ENSG00000152642,GPD1L,glycerol-3-phosphate dehydrogenase 1-like [Source:HGNC Symbol;Acc:28956],234,487,599,517,698,503,524,286,336,346,chr3,32147181,32210205,23171,protein_coding
ENSG00000170293,CMTM8,CKLF-like MARVEL transmembrane domain containing 8 [Source:HGNC Symbol;Acc:19179],196,235,304,383,382,501,289,477,215,448,chr3,32280171,32411817,152189,protein_coding
ENSG00000091317,CMTM6,CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:19177],571,1079,644,473,916,494,582,489,432,288,chr3,32522804,32544900,54918,protein_coding
ENSG00000144635,DYNC1LI1,"dynein, cytoplasmic 1, light intermediate chain 1 [Source:HGNC Symbol;Acc:18745]",401,382,677,533,538,553,712,563,572,538,chr3,32567463,32612366,51143,protein_coding
ENSG00000182973,CNOT10,"CCR4-NOT transcription complex, subunit 10 [Source:HGNC Symbol;Acc:23817]",129,282,269,280,197,145,288,187,246,236,chr3,32726637,32815367,25904,protein_coding
ENSG00000170266,GLB1,"galactosidase, beta 1 [Source:HGNC Symbol;Acc:4298]",1069,1417,954,1741,2122,1153,743,723,793,676,chr3,33038100,33138722,,protein_coding
ENSG00000188167,TMPPE,transmembrane protein with metallophosphoesterase domain [Source:HGNC Symbol;Acc:33865],229,776,459,343,350,318,315,325,328,275,chr3,33131913,33138293,643853,protein_coding
ENSG00000170275,CRTAP,cartilage associated protein [Source:HGNC Symbol;Acc:2379],369,656,380,741,651,1057,692,833,729,993,chr3,33155471,33189265,,protein_coding
ENSG00000173705,SUSD5,sushi domain containing 5 [Source:HGNC Symbol;Acc:29061],89,274,82,105,68,70,72,84,112,159,chr3,33191537,33260707,26032,protein_coding
ENSG00000153558,FBXL2,F-box and leucine-rich repeat protein 2 [Source:HGNC Symbol;Acc:13598],438,236,399,372,379,522,577,428,363,471,chr3,33318517,33445154,25827,protein_coding
ENSG00000153560,UBP1,upstream binding protein 1 (LBP-1a) [Source:HGNC Symbol;Acc:12507],1875,1628,2205,1871,2067,1891,2694,1598,2643,2391,chr3,33429828,33482863,7342,protein_coding
ENSG00000163539,CLASP2,cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:17078],2066,1848,2024,2224,3431,4687,2596,3033,3950,4439,chr3,33537737,33759848,23122,protein_coding
ENSG00000170248,PDCD6IP,programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:8766],2663,1534,3531,3201,2330,2702,3206,1911,3074,3149,chr3,33839844,33911194,10015,protein_coding
ENSG00000168016,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:29011],112,49,220,190,192,96,172,31,40,124,chr3,36868311,36986548,9881,protein_coding
ENSG00000178567,EPM2AIP1,EPM2A (laforin) interacting protein 1 [Source:HGNC Symbol;Acc:19735],1589,960,1732,2065,2757,3320,2026,1993,2463,2633,chr3,37027357,37034795,9852,protein_coding
ENSG00000076242,MLH1,mutL homolog 1 [Source:HGNC Symbol;Acc:7127],483,521,1024,677,785,1246,1192,804,909,1185,chr3,37034823,37107380,4292,protein_coding
ENSG00000093167,LRRFIP2,leucine rich repeat (in FLII) interacting protein 2 [Source:HGNC Symbol;Acc:6703],1741,951,601,827,958,1292,842,808,2209,1201,chr3,37094117,37225180,9209,protein_coding
ENSG00000144674,GOLGA4,golgin A4 [Source:HGNC Symbol;Acc:4427],10493,5441,11527,14756,10853,21054,14133,7872,15586,21584,chr3,37284668,37408242,2803,protein_coding
ENSG00000198590,C3orf35,chromosome 3 open reading frame 35 [Source:HGNC Symbol;Acc:24082],673,305,250,293,108,306,329,330,678,893,chr3,37427760,37476988,339883,protein_coding
ENSG00000144677,CTDSPL,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like [Source:HGNC Symbol;Acc:16890]",375,222,529,651,654,1283,641,314,451,823,chr3,37903451,38025960,10217,protein_coding
ENSG00000008226,DLEC1,deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:2899],89,103,76,73,61,131,76,151,70,74,chr3,38080696,38165516,9940,protein_coding
ENSG00000060971,ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:82],130,102,55,58,48,114,70,94,89,66,chr3,38144620,38178733,30,protein_coding
ENSG00000172936,MYD88,myeloid differentiation primary response 88 [Source:HGNC Symbol;Acc:7562],115,372,340,314,215,229,328,252,178,206,chr3,38179969,38184513,4615,protein_coding
ENSG00000172939,OXSR1,oxidative stress responsive 1 [Source:HGNC Symbol;Acc:8508],379,563,526,484,856,1038,628,374,504,759,chr3,38206580,38296979,9943,protein_coding
ENSG00000093217,XYLB,xylulokinase homolog (H. influenzae) [Source:HGNC Symbol;Acc:12839],132,160,101,305,254,182,180,167,82,141,chr3,38388251,38462839,9942,protein_coding
ENSG00000114739,ACVR2B,"activin A receptor, type IIB [Source:HGNC Symbol;Acc:174]",354,237,566,622,862,546,476,196,322,946,chr3,38495342,38534633,93,protein_coding
ENSG00000157036,EXOG,"endo/exonuclease (5'-3'), endonuclease G-like [Source:HGNC Symbol;Acc:3347]",141,290,234,188,321,165,232,342,134,102,chr3,38537618,38583652,9941,protein_coding
ENSG00000114742,WDR48,WD repeat domain 48 [Source:HGNC Symbol;Acc:30914],613,616,439,545,576,467,584,398,528,578,chr3,39093489,39138155,57599,protein_coding
ENSG00000114745,GORASP1,"golgi reassembly stacking protein 1, 65kDa [Source:HGNC Symbol;Acc:16769]",636,397,631,804,534,699,441,513,599,530,chr3,39138150,39149854,64689,protein_coding
ENSG00000168026,TTC21A,tetratricopeptide repeat domain 21A [Source:HGNC Symbol;Acc:30761],208,157,215,356,323,325,267,283,336,541,chr3,39149152,39180394,199223,protein_coding
ENSG00000144655,CSRNP1,cysteine-serine-rich nuclear protein 1 [Source:HGNC Symbol;Acc:14300],308,456,299,292,212,290,202,594,269,368,chr3,39183346,39196053,64651,protein_coding
ENSG00000144659,SLC25A38,"solute carrier family 25, member 38 [Source:HGNC Symbol;Acc:26054]",118,333,219,154,179,253,259,278,145,224,chr3,39424839,39438842,54977,protein_coding
ENSG00000168028,RPSA,ribosomal protein SA [Source:HGNC Symbol;Acc:6502],1413,1911,1900,1130,765,1288,1591,2250,1484,1436,chr3,39448180,39454033,,protein_coding
ENSG00000114784,EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:30792],416,591,320,333,334,387,211,354,448,542,chr3,40351175,40353915,10289,protein_coding
ENSG00000168032,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:3365],164,105,188,451,226,2267,3275,5656,3401,2506,chr3,40428647,40470110,956,protein_coding
ENSG00000188846,RPL14,ribosomal protein L14 [Source:HGNC Symbol;Acc:10305],1243,2113,1458,1528,1440,2870,1884,2735,1681,1895,chr3,40498783,40503861,9045,protein_coding
ENSG00000177873,ZNF619,zinc finger protein 619 [Source:HGNC Symbol;Acc:26910],193,35,49,111,111,86,90,98,54,62,chr3,40518604,40531727,285267,protein_coding
ENSG00000177842,ZNF620,zinc finger protein 620 [Source:HGNC Symbol;Acc:28742],225,260,96,112,95,86,151,163,228,113,chr3,40547483,40560227,253639,protein_coding
ENSG00000172888,ZNF621,zinc finger protein 621 [Source:HGNC Symbol;Acc:24787],549,319,303,378,407,565,468,252,644,358,chr3,40566369,40616176,285268,protein_coding
ENSG00000168036,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:2514]",2191,1576,2319,1648,2053,1323,1458,1255,1615,1352,chr3,41236328,41301587,1499,protein_coding
ENSG00000168038,ULK4,unc-51 like kinase 4 [Source:HGNC Symbol;Acc:15784],1102,427,481,481,706,456,395,231,839,160,chr3,41288090,42003922,54986,protein_coding
ENSG00000182606,TRAK1,"trafficking protein, kinesin binding 1 [Source:HGNC Symbol;Acc:29947]",4809,3216,1836,2967,3576,3046,1625,2786,3767,3570,chr3,42055294,42267381,22906,protein_coding
ENSG00000093183,SEC22C,SEC22 vesicle trafficking protein homolog C (S. cerevisiae) [Source:HGNC Symbol;Acc:16828],971,1502,750,827,892,561,537,933,739,556,chr3,42589461,42642572,9117,protein_coding
ENSG00000008324,SS18L2,synovial sarcoma translocation gene on chromosome 18-like 2 [Source:HGNC Symbol;Acc:15593],157,111,195,161,218,120,84,125,181,144,chr3,42623332,42636606,51188,protein_coding
ENSG00000114857,NKTR,natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833],10297,9419,5844,6712,7133,7646,6766,7802,10735,12012,chr3,42642106,42690227,4820,protein_coding
ENSG00000181061,HIGD1A,"HIG1 hypoxia inducible domain family, member 1A [Source:HGNC Symbol;Acc:29527]",1742,1808,1417,2066,1615,374,677,592,686,229,chr3,42798669,42846023,25994,protein_coding
ENSG00000182983,ZNF662,zinc finger protein 662 [Source:HGNC Symbol;Acc:31930],279,302,309,321,487,229,205,205,238,173,chr3,42947223,42960825,389114,protein_coding
ENSG00000144647,POMGNT2,"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:HGNC Symbol;Acc:25902]",44,41,136,157,115,160,138,240,142,151,chr3,43120724,43147568,84892,protein_coding
ENSG00000163788,SNRK,SNF related kinase [Source:HGNC Symbol;Acc:30598],786,1027,615,573,556,681,765,955,759,881,chr3,43328004,43466256,54861,protein_coding
ENSG00000160746,ANO10,anoctamin 10 [Source:HGNC Symbol;Acc:25519],227,141,244,274,179,429,253,73,260,299,chr3,43396351,43733086,55129,protein_coding
ENSG00000011198,ABHD5,abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:21396],226,222,269,306,210,343,318,182,263,353,chr3,43731605,43775863,51099,protein_coding
ENSG00000179152,TCAIM,"T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:25241]",521,263,660,844,578,754,637,150,256,586,chr3,44379611,44450943,285343,protein_coding
ENSG00000185219,ZNF445,zinc finger protein 445 [Source:HGNC Symbol;Acc:21018],441,378,996,704,880,744,953,206,280,704,chr3,44481262,44519162,353274,protein_coding
ENSG00000178917,ZNF852,zinc finger protein 852 [Source:HGNC Symbol;Acc:27713],106,49,144,50,125,169,220,137,44,95,chr3,44540462,44552128,285346,protein_coding
ENSG00000196345,ZKSCAN7,zinc finger with KRAB and SCAN domains 7 [Source:HGNC Symbol;Acc:12955],119,281,400,370,414,460,647,131,192,322,chr3,44596685,44624975,55888,protein_coding
ENSG00000144792,ZNF660,zinc finger protein 660 [Source:HGNC Symbol;Acc:26720],236,465,340,297,451,292,268,290,485,334,chr3,44619715,44641186,285349,protein_coding
ENSG00000186448,ZNF197,zinc finger protein 197 [Source:HGNC Symbol;Acc:12988],653,654,487,509,654,696,525,546,571,712,chr3,44626380,44689963,10168,protein_coding
ENSG00000169981,ZNF35,zinc finger protein 35 [Source:HGNC Symbol;Acc:13099],426,681,322,307,390,350,284,435,454,261,chr3,44690219,44702283,7584,protein_coding
ENSG00000163807,KIAA1143,KIAA1143 [Source:HGNC Symbol;Acc:29198],1044,1415,1019,1768,1691,2972,1616,2386,1569,2307,chr3,44779153,44803154,57456,protein_coding
ENSG00000163812,ZDHHC3,"zinc finger, DHHC-type containing 3 [Source:HGNC Symbol;Acc:18470]",841,623,615,396,241,295,477,359,299,259,chr3,44956749,45017677,51304,protein_coding
ENSG00000075914,EXOSC7,exosome component 7 [Source:HGNC Symbol;Acc:28112],199,411,207,198,222,389,177,505,221,284,chr3,45016733,45077558,23016,protein_coding
ENSG00000163814,CDCP1,CUB domain containing protein 1 [Source:HGNC Symbol;Acc:24357],1447,1215,1505,1848,1580,3277,4103,3080,2294,7296,chr3,45123770,45187914,64866,protein_coding
ENSG00000011376,LARS2,"leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:17095]",92,231,210,119,160,162,185,132,150,85,chr3,45429998,45590913,23395,protein_coding
ENSG00000144791,LIMD1,LIM domains containing 1 [Source:HGNC Symbol;Acc:6612],957,466,744,659,435,419,457,359,716,485,chr3,45596886,45727830,8994,protein_coding
ENSG00000211456,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast) [Source:HGNC Symbol;Acc:17059],827,481,894,882,1145,1087,960,559,1069,889,chr3,45730548,45786916,22908,protein_coding
ENSG00000163818,LZTFL1,leucine zipper transcription factor-like 1 [Source:HGNC Symbol;Acc:6741],830,614,432,601,346,800,500,677,1372,870,chr3,45864808,45957534,54585,protein_coding
ENSG00000163820,FYCO1,FYVE and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:14673],2031,1784,1565,1924,1126,1834,1525,1172,1793,2429,chr3,45959396,46037316,79443,protein_coding
ENSG00000172215,CXCR6,chemokine (C-X-C motif) receptor 6 [Source:HGNC Symbol;Acc:16647],171,45,113,68,49,39,87,95,161,113,chr3,45982425,45989845,10663,protein_coding
ENSG00000160799,CCDC12,coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:28332],148,414,180,183,256,142,113,186,158,112,chr3,46963216,47023500,151903,protein_coding
ENSG00000160796,NBEAL2,neurobeachin-like 2 [Source:HGNC Symbol;Acc:31928],965,1192,1368,1712,1762,289,583,456,192,238,chr3,47021173,47051193,23218,protein_coding
ENSG00000181555,SETD2,SET domain containing 2 [Source:HGNC Symbol;Acc:18420],8256,8530,5421,6641,7208,5464,4816,5327,5661,5897,chr3,47057919,47205457,29072,protein_coding
ENSG00000088727,KIF9,kinesin family member 9 [Source:HGNC Symbol;Acc:16666],348,246,189,282,86,153,115,103,345,140,chr3,47269516,47324941,64147,protein_coding
ENSG00000114648,KLHL18,kelch-like family member 18 [Source:HGNC Symbol;Acc:29120],271,297,404,276,345,271,234,213,296,304,chr3,47324407,47388306,23276,protein_coding
ENSG00000076201,PTPN23,"protein tyrosine phosphatase, non-receptor type 23 [Source:HGNC Symbol;Acc:14406]",736,1402,1125,1011,638,1055,1454,1624,1288,2195,chr3,47422501,47454931,25930,protein_coding
ENSG00000114650,SCAP,SREBF chaperone [Source:HGNC Symbol;Acc:30634],309,332,272,374,349,313,340,248,243,333,chr3,47455203,47518616,22937,protein_coding
ENSG00000173473,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 [Source:HGNC Symbol;Acc:11104]",3254,4444,3317,2342,2992,2403,3308,3514,3120,1878,chr3,47626762,47823596,6599,protein_coding
ENSG00000132153,DHX30,DEAH (Asp-Glu-Ala-His) box helicase 30 [Source:HGNC Symbol;Acc:16716],812,1331,940,960,1019,1031,766,1434,819,836,chr3,47844399,47891685,22907,protein_coding
ENSG00000047849,MAP4,microtubule-associated protein 4 [Source:HGNC Symbol;Acc:6862],4748,4196,3485,3280,2588,3808,2867,3021,3375,2616,chr3,47892182,48130769,4134,protein_coding
ENSG00000164048,ZNF589,zinc finger protein 589 [Source:HGNC Symbol;Acc:16747],113,100,164,235,321,222,149,129,258,185,chr3,48282590,48340743,51385,protein_coding
ENSG00000172113,NME6,NME/NM23 nucleoside diphosphate kinase 6 [Source:HGNC Symbol;Acc:20567],128,52,136,132,96,119,114,134,133,194,chr3,48334754,48343175,10201,protein_coding
ENSG00000164050,PLXNB1,plexin B1 [Source:HGNC Symbol;Acc:9103],634,555,656,669,722,246,371,386,367,187,chr3,48445261,48471594,5364,protein_coding
ENSG00000232112,TMA7,translation machinery associated 7 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26932],548,618,560,537,375,368,429,554,525,628,chr3,48481667,48485616,51372,protein_coding
ENSG00000164053,ATRIP,ATR interacting protein [Source:HGNC Symbol;Acc:33499],32,101,72,39,67,48,40,44,31,55,chr3,48488114,48507115,84126,protein_coding
ENSG00000164054,SHISA5,shisa family member 5 [Source:HGNC Symbol;Acc:30376],317,376,364,252,272,211,306,446,217,257,chr3,48509197,48542259,51246,protein_coding
ENSG00000114268,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:8875]",164,92,88,83,127,238,122,67,90,369,chr3,48555117,48599448,5210,protein_coding
ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585],67,97,144,113,102,114,141,150,108,153,chr3,48636435,48648409,7384,protein_coding
ENSG00000008300,CELSR3,"cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:3230]",2572,2448,2152,1661,1685,1253,1337,1340,1923,1267,chr3,48673902,48700348,1951,protein_coding
ENSG00000213672,NCKIPSD,NCK interacting protein with SH3 domain [Source:HGNC Symbol;Acc:15486],173,172,258,307,185,175,172,154,207,242,chr3,48701364,48723797,51517,protein_coding
ENSG00000068745,IP6K2,inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:17313],612,1320,752,659,835,567,652,937,751,824,chr3,48725436,48777786,51447,protein_coding
ENSG00000114302,PRKAR2A,"protein kinase, cAMP-dependent, regulatory, type II, alpha [Source:HGNC Symbol;Acc:9391]",393,747,496,584,498,737,459,383,494,625,chr3,48782030,48885279,5576,protein_coding
ENSG00000178537,SLC25A20,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 [Source:HGNC Symbol;Acc:1421]",109,103,131,199,100,151,137,93,105,62,chr3,48894369,48936426,788,protein_coding
ENSG00000177479,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:690],846,1064,890,849,740,803,889,802,724,1065,chr3,48956254,49023815,10425,protein_coding
ENSG00000178467,P4HTM,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:HGNC Symbol;Acc:28858]",306,1094,390,571,801,385,317,523,562,374,chr3,49027319,49044587,54681,protein_coding
ENSG00000178252,WDR6,WD repeat domain 6 [Source:HGNC Symbol;Acc:12758],1126,5259,3454,3025,3282,5545,3466,3182,1672,3454,chr3,49044495,49053386,11180,protein_coding
ENSG00000178149,DALRD3,DALR anticodon binding domain containing 3 [Source:HGNC Symbol;Acc:25536],397,540,302,337,357,722,407,1225,591,385,chr3,49052921,49059726,55152,protein_coding
ENSG00000178057,NDUFAF3,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 3 [Source:HGNC Symbol;Acc:29918]",287,723,512,510,639,730,517,503,501,309,chr3,49057892,49060928,25915,protein_coding
ENSG00000178035,IMPDH2,IMP (inosine 5'-monophosphate) dehydrogenase 2 [Source:HGNC Symbol;Acc:6053],438,295,454,371,347,520,307,468,427,462,chr3,49061758,49066841,3615,protein_coding
ENSG00000198218,QRICH1,glutamine-rich 1 [Source:HGNC Symbol;Acc:24713],1408,2300,943,1228,1259,1200,903,1701,1637,1606,chr3,49067140,49131796,54870,protein_coding
ENSG00000172053,QARS,glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:9751],714,546,441,837,483,739,371,686,548,598,chr3,49133365,49142553,5859,protein_coding
ENSG00000172046,USP19,ubiquitin specific peptidase 19 [Source:HGNC Symbol;Acc:12617],290,199,368,262,196,245,260,251,190,405,chr3,49145479,49158371,10869,protein_coding
ENSG00000188315,C3orf62,chromosome 3 open reading frame 62 [Source:HGNC Symbol;Acc:24771],313,200,224,209,141,119,146,199,116,50,chr3,49306035,49315342,,protein_coding
ENSG00000114316,USP4,ubiquitin specific peptidase 4 (proto-oncogene) [Source:HGNC Symbol;Acc:12627],402,378,455,372,362,382,646,276,474,318,chr3,49315264,49378145,7375,protein_coding
ENSG00000233276,GPX1,glutathione peroxidase 1 [Source:HGNC Symbol;Acc:4553],109,123,154,119,141,72,108,84,106,74,chr3,49394609,49396033,2876,protein_coding
ENSG00000067560,RHOA,ras homolog family member A [Source:HGNC Symbol;Acc:667],7965,12945,8985,8473,7564,8505,6947,9216,6400,7007,chr3,49396578,49450431,387,protein_coding
ENSG00000145022,TCTA,T-cell leukemia translocation altered [Source:HGNC Symbol;Acc:11692],400,415,462,719,377,378,439,703,449,241,chr3,49449639,49453908,6988,protein_coding
ENSG00000145020,AMT,aminomethyltransferase [Source:HGNC Symbol;Acc:473],349,284,288,176,548,385,241,233,395,160,chr3,49454211,49460186,275,protein_coding
ENSG00000145029,NICN1,nicolin 1 [Source:HGNC Symbol;Acc:18317],82,59,144,100,165,97,67,83,100,92,chr3,49460379,49466759,84276,protein_coding
ENSG00000173402,DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1) [Source:HGNC Symbol;Acc:2666],2017,3068,2417,1888,1807,1809,2076,2671,2297,1202,chr3,49506146,49573048,1605,protein_coding
ENSG00000164061,BSN,bassoon presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:1117],2472,1776,2335,2802,1380,1404,1987,2005,2689,2294,chr3,49591922,49708978,8927,protein_coding
ENSG00000164062,APEH,acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:586],572,431,424,314,343,321,341,713,439,333,chr3,49711435,49721396,327,protein_coding
ENSG00000173531,MST1,macrophage stimulating 1 (hepatocyte growth factor-like) [Source:HGNC Symbol;Acc:7380],55,90,77,60,114,249,94,115,90,118,chr3,49721380,49726934,4485,protein_coding
ENSG00000164068,RNF123,ring finger protein 123 [Source:HGNC Symbol;Acc:21148],191,202,171,151,228,146,170,170,220,123,chr3,49726932,49758962,63891,protein_coding
ENSG00000176020,AMIGO3,adhesion molecule with Ig-like domain 3 [Source:HGNC Symbol;Acc:24075],188,240,217,166,222,282,260,337,388,159,chr3,49754267,49761349,386724,protein_coding
